time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1974-08-31T15:12:23.600Z,-20.295,-68.4,141,3.6,mb,,,,,us,usp00007vv,2014-11-06T23:21:26.098Z,"153 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1974-09-19T02:30:40.200Z,-20.906,-68.064,172,3.9,mb,,,,,us,usp000082z,2014-11-06T23:21:26.441Z,"135 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1974-10-03T23:51:21.800Z,-18.446,-68.971,164,4.1,mb,,,,,us,usp000088k,2014-11-06T23:21:26.658Z,"85 km SW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1974-10-18T20:21:47.600Z,-21.706,-67.01,223,4.3,mb,,,,,us,usp00008ff,2014-11-06T23:21:26.905Z,"118 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1974-11-05T09:08:12.900Z,-20.837,-68.185,170,3.6,mb,,,,,us,usp00008pj,2014-11-06T23:21:27.159Z,"143 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1974-11-26T04:46:47.600Z,-19.932,-68.512,174,5.1,mb,,,,,us,usp00008ww,2014-11-06T23:21:27.557Z,"170 km WNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-01-06T13:45:43.200Z,-21.231,-68.051,156,4.7,mb,,,,,us,usp00009dr,2014-11-06T23:21:28.273Z,"153 km WSW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1975-02-11T21:56:49.500Z,-20.72,-62.943,562,5.3,mb,,,,,us,usp00009wc,2014-11-06T23:21:28.842Z,"47 km SE of Boyuibe, Bolivia",earthquake,,,,,reviewed,us,us
1975-04-05T18:03:58.400Z,-20.124,-67.165,294,4.4,mb,,,,,us,usp0000ag7,2014-11-06T23:21:29.631Z,"31 km NW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-05-07T10:59:53.400Z,-19.852,-68.425,154,4.1,mb,,,,,us,usp0000ay8,2014-11-06T23:21:30.221Z,"163 km WNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-06-02T19:31:07.800Z,-21.388,-67.751,131,4.1,mb,,,,,us,usp0000b9j,2014-11-06T23:21:30.509Z,"140 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1975-06-23T05:56:51.600Z,-21.649,-67.174,217,4.3,mb,,,,,us,usp0000bqr,2014-11-06T23:21:30.990Z,"126 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1975-08-15T08:22:05.300Z,-20.875,-68.312,87,4.9,mb,,,,,us,usp0000cfx,2014-11-06T23:21:31.678Z,"157 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-08-21T05:03:37.200Z,-21.979,-66.938,186,5.1,mb,,,,,us,usp0000chx,2014-11-06T23:21:31.725Z,"137 km SSW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1975-08-28T10:18:15.000Z,-19.488,-68.375,124,4.2,mb,,,,,us,usp0000cms,2014-11-06T23:21:31.781Z,"175 km WNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-10-19T12:18:05.900Z,-20.888,-68.487,83,4.8,mb,,,,,us,usp0000d6m,2014-11-06T23:21:32.292Z,"174 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1975-10-31T19:37:16.100Z,-21.481,-66.543,191,4.2,mb,,,,,us,usp0000dcm,2014-11-06T23:21:32.414Z,"69 km SSW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1975-11-22T18:28:14.700Z,-20.35,-68.174,33,4.4,mb,,,,,us,usp0000dpj,2014-11-06T23:21:32.787Z,"129 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1976-02-21T16:43:24.400Z,-21.684,-66.88,233,3.7,mb,,,,,us,usp0000f5f,2014-11-06T23:21:34.154Z,"107 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
